president,year,approval
Harry S. Truman,1945,81.3
Harry S. Truman,1946,44.1
Harry S. Truman,1947,57.6
Harry S. Truman,1948,42
Harry S. Truman,1949,54.3
Harry S. Truman,1950,39.5
Harry S. Truman,1951,27.8
Harry S. Truman,1952,28.8
Dwight D. Eisenhower,1953,68.2
Dwight D. Eisenhower,1954,65.5
Dwight D. Eisenhower,1955,71.2
Dwight D. Eisenhower,1956,72.8
Dwight D. Eisenhower,1957,64.2
Dwight D. Eisenhower,1958,54.7
Dwight D. Eisenhower,1959,63.7
Dwight D. Eisenhower,1960,61.1
John F. Kennedy,1961,76.1
John F. Kennedy,1962,71.8
John F. Kennedy,1963,63.5
Lyndon B. Johnson,1963,76
Lyndon B. Johnson,1964,74.4
Lyndon B. Johnson,1965,66.3
Lyndon B. Johnson,1966,51.2
Lyndon B. Johnson,1967,44
Lyndon B. Johnson,1968,42.5
Richard Nixon,1969,61.2
Richard Nixon,1970,57.1
Richard Nixon,1971,50
Richard Nixon,1972,56.2
Richard Nixon,1973,41.8
Richard Nixon,1974,26
Gerald Ford,1974,53.8
Gerald Ford,1975,42.9
Gerald Ford,1976,47.6
Jimmy Carter,1977,62.5
Jimmy Carter,1978,45.6
Jimmy Carter,1979,36.7
Jimmy Carter,1980,40.6
Ronald Reagan,1981,57.5
Ronald Reagan,1982,43.8
Ronald Reagan,1983,43.8
Ronald Reagan,1984,55.3
Ronald Reagan,1985,60.3
Ronald Reagan,1986,60.6
Ronald Reagan,1987,48.1
Ronald Reagan,1988,52
George H.W. Bush,1989,63.9
George H.W. Bush,1990,66.3
George H.W. Bush,1991,71.7
George H.W. Bush,1992,40.5
Bill Clinton,1993,48.6
Bill Clinton,1994,46.4
Bill Clinton,1995,47.5
Bill Clinton,1996,54.5
Bill Clinton,1997,58.3
Bill Clinton,1998,63.8
Bill Clinton,1999,61.2
Bill Clinton,2000,60.3
George W. Bush,2001,66.4
George W. Bush,2002,72.2
George W. Bush,2003,60.5
George W. Bush,2004,50.8
George W. Bush,2005,46
George W. Bush,2006,38
George W. Bush,2007,33.6
George W. Bush,2008,30.1
Barack Obama,2009,57.5
Barack Obama,2010,46.8
Barack Obama,2011,44.7
Barack Obama,2012,47.8
Barack Obama,2013,46.5
Barack Obama,2014,42.4
Barack Obama,2015,46.3
Barack Obama,2016,51.9
Donald Trump,2017,38.5
Donald Trump,2018,40.3
Donald Trump,2019,41.6
Donald Trump,2020,43.8
Joseph Biden,2021,50.3
Joseph Biden,2022,40.9
Joseph Biden,2023,39.8
